AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,Id,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags
us-east-1c,0.34,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/29/2024,9/29/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.34,0.34,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-092b381a81386al7l,NULL,instance,Compute,74973,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/25/2024,9/24/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,76194,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/29/2024,9/29/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,84744,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
eu-central-1a,0.0216,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.0216 per On Demand Linux t3a.small Instance Hour,Usage-Based,9/2/2024,9/2/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.0216,0.0216,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",eu-central-1,EU (Frankfurt),i-0fa809325lf54b204,NULL,instance,Compute,86106,Amazon Elastic Compute Cloud,774XP29ZBNQKJHC3,774XP29ZBNQKJHC3.JRTCKXETXF.6YS6EN2CT7,19407139323,Zenith Voyager, SalemArchitecture
us-east-1c,0.37461654,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$1.14 per On Demand Linux g3.4xlarge Instance Hour,Usage-Based,9/27/2024,9/27/2024,NULL,NULL,NULL,NULL,NULL,0.328611,Hours,0,1,0,"Amazon Web Services, Inc.",0.37461654,1.14,Standard,0.328611,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0bf9b35a95ll6l0l8,NULL,instance,Compute,87812,Amazon Elastic Compute Cloud,SQ37ZQ2CZ2H95VDC,SQ37ZQ2CZ2H95VDC.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/12/2024,9/12/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,95020,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-east-2,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.00 per hour for 25 units of read capacity for a month (free tier),Usage-Based,9/20/2024,9/20/2024,NULL,NULL,NULL,NULL,NULL,1,ReadCapacityUnit-Hours,0,0,0,"Amazon Web Services Canada, Inc.",0,0,Standard,1,ReadCapacityUnit-Hours,AWS,"Amazon Web Services Canada, Inc.",us-east-2,US East (Ohio),arn:ats:llnacolf:us-east-2:874564309434:tafme/aais-test-openilm-etm-lontrom-tafme,NULL,NULL,Databases,109323,Amazon DynamoDB,3BGBTGBMZMF7WJJP,3BGBTGBMZMF7WJJP.JRTCKXETXF.HBHVWY47CM,68988428841,Nimbus Nimbus, MarseilleFinance
us-east-1c,1.14,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$1.14 per On Demand Linux g3.4xlarge Instance Hour,Usage-Based,9/25/2024,9/24/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,1,1,1,"Amazon Web Services, Inc.",1.14,1.14,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-07b90f068e1172e15,NULL,instance,Compute,117468,Amazon Elastic Compute Cloud,SQ37ZQ2CZ2H95VDC,SQ37ZQ2CZ2H95VDC.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1d,0.34,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/18/2024,9/18/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.34,0.34,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-035l426al55960123,NULL,instance,Compute,138716,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-west-2,0.4,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"USD 0.10 per hour per vCPU running RDS Extended Support for MySQL 5.7 in Year 1, Year 2",Usage-Based,9/9/2024,9/9/2024,NULL,NULL,NULL,NULL,NULL,4,vCPU-Hours,0,0,0,"Amazon Web Services, Inc.",0.4,0.1,Standard,4,vCPU-Hours,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:ats:rls:us-test-2:115386644665:lf:terraborc-20180202012718210700000001,NULL,NULL,Databases,172475,Amazon Relational Database Service,TB3JHXC6ZCYSVN98,TB3JHXC6ZCYSVN98.JRTCKXETXF.6YS6EN2CT7,66362635077,Zenith Apollo, LipaAI
us-east-1c,1.38256692,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$2.28 per On Demand Linux g3.8xlarge Instance Hour,Usage-Based,9/27/2024,9/27/2024,NULL,NULL,NULL,NULL,NULL,0.606389,Hours,1,2,1,"Amazon Web Services, Inc.",1.38256692,2.28,Standard,0.606389,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-03b6el55f3aa04lfl,NULL,instance,Compute,190037,Amazon Elastic Compute Cloud,RSMWKBGGTAAEV4RH,RSMWKBGGTAAEV4RH.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/23/2024,9/23/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,190089,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-east-1a,0.52342762,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.71 per On Demand Windows g4dn.xlarge Instance Hour,Usage-Based,9/24/2024,9/24/2024,NULL,NULL,NULL,NULL,NULL,0.737222,Hours,1,1,1,"Amazon Web Services, Inc.",0.52342762,0.71,Standard,0.737222,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-05746836l0b33l4b1,NULL,instance,Compute,195418,Amazon Elastic Compute Cloud,TPSV6ZTWPRMZ3XXE,TPSV6ZTWPRMZ3XXE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1b,0.34,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/16/2024,9/16/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.34,0.34,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-05eb9a686e8l3576l,NULL,instance,Compute,197681,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1f,0.1028,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,t3.2xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #62,Usage-Based,9/24/2024,9/24/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.3328,0.3328,Dynamic,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0fl50e87la2lf0f98,NULL,NULL,Compute,208045,Amazon Elastic Compute Cloud,WRR58ZADETJZQTJE,WRR58ZADETJZQTJE.JRTCKXETXF.6YS6EN2CT7,31027794154,Nimbus Horizon, DamascusProcurement
eu-central-1a,0.051768912,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.208 per On Demand Linux m5a.xlarge Instance Hour,Usage-Based,9/5/2024,9/5/2024,NULL,NULL,NULL,NULL,NULL,0.248889,Hours,0,0,0,"Amazon Web Services, Inc.",0.051768912,0.208,Standard,0.248889,Hours,AWS,"Amazon Web Services, Inc.",eu-central-1,EU (Frankfurt),i-0973678al0aa2all6,NULL,instance,Compute,208053,Amazon Elastic Compute Cloud,FCDR7GHDJDC2G8Q9,FCDR7GHDJDC2G8Q9.JRTCKXETXF.6YS6EN2CT7,19407139323,Zenith Voyager, DenverDesign
us-east-1a,2.04,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$2.04 per On Demand Linux c5.12xlarge Instance Hour,Usage-Based,9/16/2024,9/16/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,2,2,2,"Amazon Web Services, Inc.",2.04,2.04,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0llff25fff7853l94,NULL,instance,Compute,216074,Amazon Elastic Compute Cloud,SEPZUZKD53RX92J8,SEPZUZKD53RX92J8.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1a,0.023,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.023 per On Demand Linux t2.small Instance Hour,Usage-Based,9/23/2024,9/23/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.023,0.023,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-03688a97bb9314ll7,NULL,instance,Compute,223939,Amazon Elastic Compute Cloud,VA8Q43DVPX4YV6NG,VA8Q43DVPX4YV6NG.JRTCKXETXF.6YS6EN2CT7,93042372971,Voyager Odyssey, OsloData
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/16/2024,9/16/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,232629,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-west-2,0.000035,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US West (Oregon)",Usage-Based,9/1/2024,9/1/2024,NULL,NULL,NULL,NULL,NULL,7,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000035,0.000005,Standard,7,API Requests,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),NULL,NULL,NULL,Management and Governance,239256,AWS Systems Manager,PMR4PXW56N3ZAP3T,PMR4PXW56N3ZAP3T.JRTCKXETXF.6YS6EN2CT7,18938484842,Orion Zenith,
us-east-1,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.00 per hour for 25 units of write capacity for a month (free tier),Usage-Based,9/12/2024,9/12/2024,NULL,NULL,NULL,NULL,NULL,1,WriteCapacityUnit-Hours,0,0,0,"Amazon Web Services, Inc.",0,0,Standard,1,WriteCapacityUnit-Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:ats:llnacolf:us-east-1:391835788720:tafme/tbstate-molf-plt-gea-prol,NULL,NULL,Databases,249250,Amazon DynamoDB,R6PXMNYCEDGZ2EYN,R6PXMNYCEDGZ2EYN.JRTCKXETXF.HBHVWY47CM,11353890204,Atlas Orion,
us-east-1a,0.34,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/25/2024,9/25/2024,NULL,NULL,NULL,NULL,NULL,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.34,0.34,Standard,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0f82l248901387e2f,NULL,instance,Compute,256708,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-west-2c,0.021166375,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,m7i-flex.2xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #4,Usage-Based,9/11/2024,9/11/2024,NULL,NULL,NULL,NULL,NULL,0.128611,Hours,0,0,0,Amazon Web Services EMEA SARL,0.049263157,0.38304,Dynamic,0.128611,Hours,AWS,Amazon Web Services EMEA SARL,us-west-2,US West (Oregon),i-0f2l15bf21a186811,NULL,NULL,Compute,268206,Amazon Elastic Compute Cloud,BVGJPQFGU48AT4NV,BVGJPQFGU48AT4NV.JRTCKXETXF.6YS6EN2CT7,77596568903,Apollo Voyager, DohaSRE
us-east-1b,1.350627208,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$1.624 per On Demand Linux g5.4xlarge Instance Hour,Usage-Based,9/19/2024,9/19/2024,NULL,NULL,NULL,NULL,NULL,0.831667,Hours,1,2,1,"Amazon Web Services, Inc.",1.350627208,1.624,Standard,0.831667,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0bblfe4083000al06,NULL,instance,Compute,271165,Amazon Elastic Compute Cloud,4GQWNPC9K2PZAY97,4GQWNPC9K2PZAY97.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1,0.000005,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,"$0.05 per 10,000 Parameter API Interaction_Higher throughput in US East (N. Virginia)",Usage-Based,9/25/2024,9/25/2024,NULL,NULL,NULL,NULL,NULL,1,API Requests,0,0,0,"Amazon Web Services, Inc.",0.000005,0.000005,Standard,1,API Requests,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),NULL,NULL,NULL,Management and Governance,285128,AWS Systems Manager,MB4F8NNCDVWUBKDE,MB4F8NNCDVWUBKDE.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion,
us-east-1c,0,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.085 per On Demand Linux c5.large Instance Hour,Usage-Based,9/6/2024,9/6/2024,Spend,arn:aws:savingsplans::365499461711:savingsplan/37985e61-4fcb-4023-9dd7-e524c80342a2,NULL,Used,Savings Plan,1,Hours,0,0,0,"Amazon Web Services, Inc.",0.085,0.085,Committed,1,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-053328lb8155a88fa,NULL,instance,Compute,308173,Amazon Elastic Compute Cloud,6U6GZ2DN4RFCJ7D9,6U6GZ2DN4RFCJ7D9.JRTCKXETXF.6YS6EN2CT7,18938484842,Orion Zenith, BrusselsArchitecture
us-east-1c,0.22411678,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/20/2024,9/20/2024,NULL,NULL,NULL,NULL,NULL,0.659167,Hours,0,0,0,"Amazon Web Services, Inc.",0.22411678,0.34,Standard,0.659167,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0898b7f0le7a8fa6b,NULL,instance,Compute,317795,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1a,0.22798904,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$0.34 per On Demand Linux c5.2xlarge Instance Hour,Usage-Based,9/27/2024,9/27/2024,NULL,NULL,NULL,NULL,NULL,0.670556,Hours,0,0,0,"Amazon Web Services, Inc.",0.22798904,0.34,Standard,0.670556,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0692l0lefe821l9e8,NULL,instance,Compute,322589,Amazon Elastic Compute Cloud,H9ZN7EUEHC2S7YH5,H9ZN7EUEHC2S7YH5.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
us-east-1c,0.720424264,1234567890123,SunBird,USD,10/1/2024 0:00,9/1/2024 0:00,Usage,NULL,$1.624 per On Demand Linux g5.4xlarge Instance Hour,Usage-Based,9/23/2024,9/23/2024,NULL,NULL,NULL,NULL,NULL,0.443611,Hours,1,2,1,"Amazon Web Services, Inc.",0.720424264,1.624,Standard,0.443611,Hours,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),i-0ff2b01e16e15ffae,NULL,instance,Compute,335233,Amazon Elastic Compute Cloud,4GQWNPC9K2PZAY97,4GQWNPC9K2PZAY97.JRTCKXETXF.6YS6EN2CT7,11353890204,Atlas Orion, PeoriaData
